id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1482105791024881664,1482105791024881664,"2022-01-14 22:42:11 Paris, Madrid",2022-01-14,22:42:11,100,3405442043,dailydigital,Daily Digital #CES2022,,🌇#NightReplay #CES2022 Cet écran géant pourrait transformer votre voiture en cinéma  https://t.co/AfGJW20cT5  https://t.co/fCpCS3g2eF,fr,[],['https://dgl.li/3rhfgLo'],['https://pbs.twimg.com/media/FJF_W8HXoAYYdse.jpg'],0,0,0,"['nightreplay', 'ces2022']",[],https://twitter.com/DailyDigital/status/1482105791024881664,False,,1,https://pbs.twimg.com/media/FJF_W8HXoAYYdse.jpg,,,,,,,[],,,,
1482088077980049410,1482088077980049410,"2022-01-14 21:31:48 Paris, Madrid",2022-01-14,21:31:48,100,249377058,armellemiclo,Armelle Miclo,,"#CES2022 #innovation  #madeinFrance, ce bijou connecté est pour l’instant fabriqué en petite série. La #startup qui le fabrique a reçu le prix de l’innovation au dernier CES à Las Vegas dans la catégorie « Wearable technologies »  https://t.co/g9YBFeni0X  https://t.co/BXoVeHPsX8",fr,[],['https://m.villeintelligente-mag.fr/Un-bracelet-connecte-pour-signaler-rapidement-une-agression_a1239.html'],['https://pbs.twimg.com/media/FJFvQDuX0AYmg9c.jpg'],0,3,1,"['ces2022', 'innovation', 'madeinfrance', 'startup']",[],https://twitter.com/Armellemiclo/status/1482088077980049410,False,,1,https://pbs.twimg.com/media/FJFvQDuX0AYmg9c.jpg,,,,,,,[],,,,
1482063498452647938,1482063498452647938,"2022-01-14 19:54:08 Paris, Madrid",2022-01-14,19:54:08,100,994676882,droidtrackr_fr,DroidTrackr_fr,,MiniMachines : Samsung Freestyle : la mode est aux vidéoprojecteurs portables #Actu #CES #CES2022 #samsung  https://t.co/aP4kKI804f,fr,[],['http://tr4.fr/d299091'],[],0,0,0,"['actu', 'ces', 'ces2022', 'samsung']",[],https://twitter.com/DroidTrackr_fr/status/1482063498452647938,False,,0,,,,,,,,[],,,,
1482048628990615563,1482048628990615563,"2022-01-14 18:55:02 Paris, Madrid",2022-01-14,18:55:02,100,813771589875564548,villeintelmag,Ville Intelligente Mag 🌍,,"#smartcity #sécurité  Proposé par la startup bordelaise @MyEli_fr  un bracelet connecté, très élégant, permet d’envoyer un message en cas d’agression, que ce soit dans la rue ou à la maison. Une innovation qui a reçu un Award innovation au #CES2022   https://t.co/z641rn9ohl",fr,"[{'screen_name': 'myeli_fr', 'name': 'myeli 🐘', 'id': '1200130336845373440'}]",['https://www.villeintelligente-mag.fr/Un-bracelet-connecte-pour-signaler-rapidement-une-agression_a1239.html'],[],0,0,3,"['smartcity', 'sécurité', 'ces2022']",[],https://twitter.com/villeintelmag/status/1482048628990615563,False,,0,,,,,,,,[],,,,
1482035984078450693,1482035984078450693,"2022-01-14 18:04:48 Paris, Madrid",2022-01-14,18:04:48,100,4163651333,ampmetropole,Aix-Marseille-Provence Métropole,,"🏆 #CES2022 ⤵ 👏 @AMPMetropole est fière de soutenir la start-up @NepTechOfficial, qui a remporté un @CES Innovation Award dans la catégorie ✅ ""Dev. durable, éco-conception et énergie intelligente"" pour son NetShuttle, un catamaran 0 émission, performant et intelligent ⛵ !  https://t.co/vDuBCOUIxt",fr,"[{'screen_name': 'ampmetropole', 'name': 'aix-marseille-provence métropole', 'id': '4163651333'}, {'screen_name': 'neptechofficial', 'name': 'neptech', 'id': '1462821411320475661'}, {'screen_name': 'ces', 'name': 'ces', 'id': '10668202'}]",[],[],1,9,17,['ces2022'],[],https://twitter.com/AMPMetropole/status/1482035984078450693,False,,1,https://pbs.twimg.com/amplify_video_thumb/1482030258576674822/img/qBhXcRMTKPJUIlqD.jpg,,,,,,,[],,,,
1482034946801913856,1482034946801913856,"2022-01-14 18:00:40 Paris, Madrid",2022-01-14,18:00:40,100,1111166928,latribunemtp,La Tribune Montpellier,,"#CES2022, le retour : @Vaonis_fr, @Sharvy_app et Fittingbox (@BeN_Fittingbox) ont engrangé des contacts utiles et de la visibilité  https://t.co/obV0IlEUQa via @LaTribuneMtp",fr,"[{'screen_name': 'vaonis_fr', 'name': 'vaonis', 'id': '694889535910600704'}, {'screen_name': 'sharvy_app', 'name': 'sharvy, ex mycarspot', 'id': '856833897711251456'}, {'screen_name': 'ben_fittingbox', 'name': 'benjamin hakoun', 'id': '330648450'}, {'screen_name': 'latribunemtp', 'name': 'la tribune montpellier', 'id': '1111166928'}]",['https://bit.ly/3quzpig'],[],0,2,3,['ces2022'],[],https://twitter.com/LaTribuneMtp/status/1482034946801913856,False,,0,,,,,,,,[],,,,
1482031895307243522,1482031895307243522,"2022-01-14 17:48:33 Paris, Madrid",2022-01-14,17:48:33,100,370741002,niji_digital,Niji_Digital,,"#CES2022byNiji Alimenté par nos experts, @Strategies retient 5 tendances majeures : une #Tech plus éco-responsable, une #santé ultra connectée, le #travail en mode hybride, les #mobilités expérientielles et les #metaverses #CES2022  https://t.co/tm2pTZQCnS",fr,"[{'screen_name': 'strategies', 'name': 'strategies', 'id': '6891012'}]",['https://urlz.fr/h93G'],[],0,2,4,"['ces2022byniji', 'tech', 'santé', 'travail', 'mobilités', 'metaverses', 'ces2022']",[],https://twitter.com/Niji_Digital/status/1482031895307243522,False,,0,,,,,,,,[],,,,
1482030413673598985,1482030413673598985,"2022-01-14 17:42:40 Paris, Madrid",2022-01-14,17:42:40,100,98400849,groupeenaco,"Enaco, Online Business School",,"👋 Et si le digital permettait un meilleur lavage des mains ?  Soapy USA dévoile sa Clean Machine, une innovation permettant de mesurer la qualité de ce geste ; un concept impressionnant et essentiel, surtout en temps de Covid !  Découvrez son #interview vidéo au #CES2022 ⬇  https://t.co/6qfDNzBza9",fr,[],[],[],1,0,0,"['interview', 'ces2022']",[],https://twitter.com/GroupeEnaco/status/1482030413673598985,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1482029268800610304/pu/img/NXOQlUaPWICqOA0T.jpg,,,,,,,[],,,,
1482028365368508422,1482028365368508422,"2022-01-14 17:34:31 Paris, Madrid",2022-01-14,17:34:31,100,2509643851,villagecaparis,LeVillagebyCA Paris,,"Coulisses du tournage au Village du prochain épisode de #NationEntreprenante émission audio / vidéo  avec @DucheminRapha ! On parle des tendances du #CES2022 de Las Vegas, avec @FabriceMarsella les 4 #startups de notre stand ! They're back ! Diffusion la semaine prochaine 🔜  https://t.co/zaLaiVQcqA",fr,"[{'screen_name': 'ducheminrapha', 'name': 'raphaëlle duchemin', 'id': '314049466'}, {'screen_name': 'fabricemarsella', 'name': 'fabrice marsella', 'id': '389414240'}]",[],"['https://pbs.twimg.com/media/FJE106sWUAk4atO.jpg', 'https://pbs.twimg.com/media/FJE106sX0AMUmAn.jpg', 'https://pbs.twimg.com/media/FJE1060WUAgTZLQ.jpg']",2,5,7,"['nationentreprenante', 'ces2022', 'startups']",[],https://twitter.com/VillageCAParis/status/1482028365368508422,False,,1,https://pbs.twimg.com/media/FJE106sWUAk4atO.jpg,,,,,,,[],,,,
1482028225802817539,1482028225802817539,"2022-01-14 17:33:58 Paris, Madrid",2022-01-14,17:33:58,100,231673318,joespeeds,Joe Speed🏎🐢,,"🚗@halocar_ #ROS pace car 153 km/h, 43 m/sec via @TMobile #5G. Best #5G #robotics demo! @IndyAChallenge @CES #CES2022 #GoROS   @OpenRoboticsOrg @kumi360 @Mike_Katz @NevilleRay @JohnSaw @ApexAI_Inc  https://t.co/w1zMEHkCDY",fr,"[{'screen_name': 'halocar_', 'name': 'halo car', 'id': '1339258504280870912'}, {'screen_name': 'tmobile', 'name': 't-mobile', 'id': '17338082'}, {'screen_name': 'indyachallenge', 'name': 'indy autonomous challenge', 'id': '1230905090178838528'}, {'screen_name': 'ces', 'name': 'ces', 'id': '10668202'}, {'screen_name': 'openroboticsorg', 'name': 'open robotics', 'id': '558987463'}, {'screen_name': 'kumi360', 'name': 'anand nandakumar (🚗, 🤖)', 'id': '37006524'}, {'screen_name': 'mike_katz', 'name': 'mike katz', 'id': '1880757913'}, {'screen_name': 'nevilleray', 'name': 'neville', 'id': '2389775310'}, {'screen_name': 'johnsaw', 'name': 'john saw', 'id': '943584085053714432'}, {'screen_name': 'apexai_inc', 'name': 'apex.ai', 'id': '1121940366360317958'}]",[],[],0,6,27,"['ros', '5g', '5g', 'robotics', 'ces2022', 'goros']",[],https://twitter.com/JoeSpeeds/status/1482028225802817539,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1482028083154616321/pu/img/EHtctypjjyuh7uCc.jpg,,,,,,,[],,,,
